match_url,teamName,tableType,player,kd,plus_minus,adr,kast,rating
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table totalstats,Dmytro 'dem0n' Myroshnychenkodem0n,43-25,+18,80.7,81.2%,1.44
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table totalstats,Aulon 'Krabeni' FazlijaKrabeni,41-32,+9,93.7,72.9%,1.32
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table totalstats,Džiugas 'dziugss' Steponavičiusdziugss,30-29,+1,69.5,75.0%,1.16
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table totalstats,Drin 'makazze' Shaqirimakazze,32-33,-1,89.3,77.1%,1.11
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table totalstats,Nikita 'cmtry' Samolyotovcmtry,23-32,-9,56.2,60.4%,0.78
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table ctstats hidden,Dmytro 'dem0n' Myroshnychenkodem0n,19-11,+8,67.8,81.0%,1.26
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table ctstats hidden,Džiugas 'dziugss' Steponavičiusdziugss,14-11,+3,78.7,85.7%,1.25
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table ctstats hidden,Aulon 'Krabeni' FazlijaKrabeni,14-14,0,84.0,71.4%,1.08
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table ctstats hidden,Nikita 'cmtry' Samolyotovcmtry,14-11,+3,68.5,66.7%,1.07
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table ctstats hidden,Drin 'makazze' Shaqirimakazze,11-13,-2,90.9,81.0%,0.99
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table tstats hidden,Dmytro 'dem0n' Myroshnychenkodem0n,24-14,+10,90.8,81.5%,1.58
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table tstats hidden,Aulon 'Krabeni' FazlijaKrabeni,27-18,+9,101.3,74.1%,1.51
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table tstats hidden,Drin 'makazze' Shaqirimakazze,21-20,+1,88.1,74.1%,1.19
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table tstats hidden,Džiugas 'dziugss' Steponavičiusdziugss,16-18,-2,62.3,66.7%,1.08
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,NAVI Junior,table tstats hidden,Nikita 'cmtry' Samolyotovcmtry,9-21,-12,46.6,55.6%,0.56
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table totalstats,Yevhen 'j3kie' Serhachovj3kie,32-37,-5,72.1,70.8%,0.98
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table totalstats,Oleksandr 'Smash' TurchynSmash,28-32,-4,66.1,72.9%,0.96
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table totalstats,Max 'Marix' KugenerMarix,34-36,-2,78.7,75.0%,0.96
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table totalstats,Vladyslav 'bondik' Nechyporchukbondik,30-31,-1,74.6,72.9%,0.93
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table totalstats,Daniil 't3ns1on' Kashurat3ns1on,22-36,-14,62.3,66.7%,0.70
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table ctstats hidden,Yevhen 'j3kie' Serhachovj3kie,27-19,+8,101.2,81.5%,1.32
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table ctstats hidden,Vladyslav 'bondik' Nechyporchukbondik,17-19,-2,86.3,70.4%,0.95
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table ctstats hidden,Max 'Marix' KugenerMarix,19-19,0,77.8,74.1%,0.92
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table ctstats hidden,Oleksandr 'Smash' TurchynSmash,12-19,-7,47.9,74.1%,0.75
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table ctstats hidden,Daniil 't3ns1on' Kashurat3ns1on,12-21,-9,62.3,70.4%,0.72
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table tstats hidden,Oleksandr 'Smash' TurchynSmash,16-13,+3,89.6,71.4%,1.23
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table tstats hidden,Max 'Marix' KugenerMarix,15-17,-2,79.9,76.2%,1.01
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table tstats hidden,Vladyslav 'bondik' Nechyporchukbondik,13-12,+1,59.5,76.2%,0.91
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table tstats hidden,Daniil 't3ns1on' Kashurat3ns1on,10-15,-5,62.2,61.9%,0.67
https://www.hltv.org/matches/2380417/navi-junior-vs-favbet-a1-gaming-league-season-10,FAVBET,table tstats hidden,Yevhen 'j3kie' Serhachovj3kie,5-18,-13,34.6,57.1%,0.53
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table totalstats,Abdul 'degster' Gasanovdegster,75-60,+15,69.0,77.2%,1.12
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table totalstats,Nikola 'NiKo' KovačNiKo,66-67,-1,81.9,70.3%,1.05
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table totalstats,René 'TeSeS' MadsenTeSeS,65-72,-7,71.0,77.2%,1.02
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table totalstats,Damjan 'kyxsan' Stoilkovskikyxsan,61-69,-8,66.8,71.3%,0.94
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table totalstats,Emil 'Magisk' ReifMagisk,55-60,-5,66.1,68.3%,0.91
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table ctstats hidden,Abdul 'degster' Gasanovdegster,44-27,+17,78.9,82.4%,1.24
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table ctstats hidden,René 'TeSeS' MadsenTeSeS,38-35,+3,82.2,78.4%,1.08
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table ctstats hidden,Damjan 'kyxsan' Stoilkovskikyxsan,33-32,+1,67.3,74.5%,0.93
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table ctstats hidden,Nikola 'NiKo' KovačNiKo,31-34,-3,80.0,74.5%,0.93
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table ctstats hidden,Emil 'Magisk' ReifMagisk,30-30,0,69.8,72.5%,0.90
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table tstats hidden,Nikola 'NiKo' KovačNiKo,35-33,+2,83.9,66.0%,1.18
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table tstats hidden,Abdul 'degster' Gasanovdegster,31-33,-2,59.0,72.0%,1.00
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table tstats hidden,René 'TeSeS' MadsenTeSeS,27-37,-10,59.6,76.0%,0.96
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table tstats hidden,Damjan 'kyxsan' Stoilkovskikyxsan,28-37,-9,66.3,68.0%,0.94
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Falcons,table tstats hidden,Emil 'Magisk' ReifMagisk,25-30,-5,62.3,64.0%,0.92
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Virtus.pro,table totalstats,Timur 'FL4MUS' MarevFL4MUS,75-65,+10,79.9,74.3%,1.17
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Virtus.pro,table totalstats,Evgenii 'FL1T' LebedevFL1T,66-53,+13,74.1,72.3%,1.09
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Virtus.pro,table totalstats,Petr 'fame' Bolyshevfame,62-76,-14,75.5,68.3%,0.96
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Virtus.pro,table totalstats,Denis 'electroNic' SharipovelectroNic,66-74,-8,76.8,67.3%,0.94
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Virtus.pro,table totalstats,Kaisar 'ICY' FaiznurovICY,57-57,0,57.9,72.3%,0.90
https://www.hltv.org/matches/2380122/falcons-vs-virtuspro-blast-open-lisbon-2025,Virtus.pro,table ctstats hidden,Timur 'FL4MUS' MarevFL4MUS,41-30,+11,84.5,78.0%,1.23
